GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,EMP_N,PAYQTR1,PAYQTR1_N,PAYANN,PAYANN_N
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),Noise range for paid employees for pay period including March 12 (%),"First-quarter payroll ($1,000)",Noise range for first-quarter payroll (%),"Annual payroll ($1,000)",Noise range for annual payroll (%)
8610000US63001,63001,"ZIP 63001 (Allenton, MO)",00,Total for all sectors,2008,5,b,D,D,D,D,D
8610000US63005,63005,"ZIP 63005 (Chesterfield, MO)",00,Total for all sectors,2008,1012,19274,G,182260,G,736930,G
8610000US63006,63006,"ZIP 63006 (Chesterfield, MO)",00,Total for all sectors,2008,16,b,D,D,D,D,D
8610000US63010,63010,"ZIP 63010 (Arnold, MO)",00,Total for all sectors,2008,808,10957,G,69945,G,280868,G
8610000US63011,63011,"ZIP 63011 (Ballwin, MO)",00,Total for all sectors,2008,1368,17641,G,122573,G,543150,G
8610000US63012,63012,"ZIP 63012 (Barnhart, MO)",00,Total for all sectors,2008,129,942,G,6135,G,27037,G
8610000US63013,63013,"ZIP 63013 (Beaufort, MO)",00,Total for all sectors,2008,38,196,G,1394,G,5534,G
8610000US63014,63014,"ZIP 63014 (Berger, MO)",00,Total for all sectors,2008,7,b,D,D,D,D,D
8610000US63015,63015,"ZIP 63015 (Catawissa, MO)",00,Total for all sectors,2008,32,112,H,554,H,2655,G
8610000US63016,63016,"ZIP 63016 (Cedar Hill, MO)",00,Total for all sectors,2008,115,562,G,3497,G,16195,G
8610000US63017,63017,"ZIP 63017 (Chesterfield, MO)",00,Total for all sectors,2008,1736,38021,G,627768,G,2283249,G
8610000US63019,63019,"ZIP 63019 (Crystal City, MO)",00,Total for all sectors,2008,242,3180,H,25235,H,104910,H
8610000US63020,63020,"ZIP 63020 (De Soto, MO)",00,Total for all sectors,2008,335,2726,G,13968,G,59950,G
8610000US63021,63021,"ZIP 63021 (Ballwin, MO)",00,Total for all sectors,2008,796,6377,G,52562,G,215716,G
8610000US63022,63022,"ZIP 63022 (Ballwin, MO)",00,Total for all sectors,2008,17,124,H,688,G,2826,H
8610000US63023,63023,"ZIP 63023 (Dittmer, MO)",00,Total for all sectors,2008,62,235,G,1452,G,6241,G
8610000US63024,63024,"ZIP 63024 (Ballwin, MO)",00,Total for all sectors,2008,5,61,G,218,G,849,G
8610000US63025,63025,"ZIP 63025 (Eureka, MO)",00,Total for all sectors,2008,407,5464,G,32909,G,145786,G
8610000US63026,63026,"ZIP 63026 (Fenton, MO)",00,Total for all sectors,2008,1401,30962,G,338245,G,1371292,G
8610000US63028,63028,"ZIP 63028 (Festus, MO)",00,Total for all sectors,2008,613,6691,G,45583,G,190259,G
8610000US63030,63030,"ZIP 63030 (Fletcher, MO)",00,Total for all sectors,2008,3,a,D,D,D,D,D
8610000US63031,63031,"ZIP 63031 (Florissant, MO)",00,Total for all sectors,2008,688,7643,G,45851,G,194770,G
8610000US63032,63032,"ZIP 63032 (Florissant, MO)",00,Total for all sectors,2008,6,a,S,64,G,546,G
8610000US63033,63033,"ZIP 63033 (Florissant, MO)",00,Total for all sectors,2008,662,7881,G,39143,G,159622,G
8610000US63034,63034,"ZIP 63034 (Florissant, MO)",00,Total for all sectors,2008,216,2109,H,11312,H,48634,G
8610000US63036,63036,"ZIP 63036 (French Village, MO)",00,Total for all sectors,2008,9,43,G,204,G,906,G
8610000US63037,63037,"ZIP 63037 (Gerald, MO)",00,Total for all sectors,2008,54,702,G,4657,H,18734,H
8610000US63038,63038,"ZIP 63038 (Glencoe, MO)",00,Total for all sectors,2008,153,894,G,6573,G,28206,G
8610000US63039,63039,"ZIP 63039 (Gray Summit, MO)",00,Total for all sectors,2008,20,e,D,D,D,D,D
8610000US63040,63040,"ZIP 63040 (Grover, MO)",00,Total for all sectors,2008,198,1853,G,11301,G,48795,G
8610000US63041,63041,"ZIP 63041 (Grubville, MO)",00,Total for all sectors,2008,6,19,G,104,G,492,G
8610000US63042,63042,"ZIP 63042 (Hazelwood, MO)",00,Total for all sectors,2008,708,19517,G,198051,G,781619,G
8610000US63043,63043,"ZIP 63043 (Maryland Heights, MO)",00,Total for all sectors,2008,863,29172,G,381784,G,1431164,G
8610000US63044,63044,"ZIP 63044 (Bridgeton, MO)",00,Total for all sectors,2008,875,26473,G,268329,G,1112104,G
8610000US63045,63045,"ZIP 63045 (Earth City, MO)",00,Total for all sectors,2008,344,16370,G,233925,G,936845,G
8610000US63047,63047,"ZIP 63047 (Hematite, MO)",00,Total for all sectors,2008,1,b,D,D,D,D,D
8610000US63048,63048,"ZIP 63048 (Herculaneum, MO)",00,Total for all sectors,2008,77,1344,G,12497,G,48922,H
8610000US63049,63049,"ZIP 63049 (High Ridge, MO)",00,Total for all sectors,2008,331,2832,G,18627,G,82113,G
8610000US63050,63050,"ZIP 63050 (Hillsboro, MO)",00,Total for all sectors,2008,289,1942,G,9746,G,43469,G
8610000US63051,63051,"ZIP 63051 (House Springs, MO)",00,Total for all sectors,2008,216,1584,G,10131,G,41940,G
8610000US63052,63052,"ZIP 63052 (Imperial, MO)",00,Total for all sectors,2008,339,2111,G,14757,G,61551,G
8610000US63053,63053,"ZIP 63053 (Kimmswick, MO)",00,Total for all sectors,2008,8,b,D,D,D,D,D
8610000US63055,63055,"ZIP 63055 (Labadie, MO)",00,Total for all sectors,2008,67,720,H,S,S,41003,H
8610000US63056,63056,"ZIP 63056 (Leslie, MO)",00,Total for all sectors,2008,21,106,H,604,G,2864,G
8610000US63057,63057,"ZIP 63057 (Liguori, MO)",00,Total for all sectors,2008,4,b,D,D,D,D,D
8610000US63060,63060,"ZIP 63060 (Lonedell, MO)",00,Total for all sectors,2008,28,136,H,884,G,3638,G
8610000US63061,63061,"ZIP 63061 (Luebbering, MO)",00,Total for all sectors,2008,3,4,G,13,G,60,G
8610000US63065,63065,"ZIP 63065 (Mapaville, MO)",00,Total for all sectors,2008,11,252,H,1170,H,4636,H
8610000US63066,63066,"ZIP 63066 (Morse Mill, MO)",00,Total for all sectors,2008,2,a,D,D,D,D,D
8610000US63068,63068,"ZIP 63068 (New Haven, MO)",00,Total for all sectors,2008,128,1505,G,11525,G,46105,G
8610000US63069,63069,"ZIP 63069 (Pacific, MO)",00,Total for all sectors,2008,372,4740,G,39360,G,166863,G
8610000US63070,63070,"ZIP 63070 (Pevely, MO)",00,Total for all sectors,2008,127,1782,G,16658,G,75757,G
8610000US63071,63071,"ZIP 63071 (Richwoods, MO)",00,Total for all sectors,2008,13,59,G,437,G,1882,G
8610000US63072,63072,"ZIP 63072 (Robertsville, MO)",00,Total for all sectors,2008,36,93,G,460,G,2193,G
