GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US63005,63005,"ZIP 63005 (Chesterfield, MO)",00,Total for all sectors,2015,1200,22656,207312,926118
8610000US63006,63006,"ZIP 63006 (Chesterfield, MO)",00,Total for all sectors,2015,17,59,324,1882
8610000US63010,63010,"ZIP 63010 (Arnold, MO)",00,Total for all sectors,2015,831,11055,77264,362287
8610000US63011,63011,"ZIP 63011 (Ballwin, MO)",00,Total for all sectors,2015,1367,17452,148380,644169
8610000US63012,63012,"ZIP 63012 (Barnhart, MO)",00,Total for all sectors,2015,141,782,5871,25524
8610000US63013,63013,"ZIP 63013 (Beaufort, MO)",00,Total for all sectors,2015,32,97,515,2421
8610000US63014,63014,"ZIP 63014 (Berger, MO)",00,Total for all sectors,2015,5,16,30,161
8610000US63015,63015,"ZIP 63015 (Catawissa, MO)",00,Total for all sectors,2015,26,136,753,3474
8610000US63016,63016,"ZIP 63016 (Cedar Hill, MO)",00,Total for all sectors,2015,104,667,5157,22237
8610000US63017,63017,"ZIP 63017 (Chesterfield, MO)",00,Total for all sectors,2015,1722,45399,887606,3272192
8610000US63019,63019,"ZIP 63019 (Crystal City, MO)",00,Total for all sectors,2015,187,3175,27997,122924
8610000US63020,63020,"ZIP 63020 (De Soto, MO)",00,Total for all sectors,2015,311,2377,13942,69212
8610000US63021,63021,"ZIP 63021 (Ballwin, MO)",00,Total for all sectors,2015,768,6142,54087,233182
8610000US63022,63022,"ZIP 63022 (Ballwin, MO)",00,Total for all sectors,2015,13,27,310,1503
8610000US63023,63023,"ZIP 63023 (Dittmer, MO)",00,Total for all sectors,2015,39,166,1112,5639
8610000US63024,63024,"ZIP 63024 (Ballwin, MO)",00,Total for all sectors,2015,1,a,D,D
8610000US63025,63025,"ZIP 63025 (Eureka, MO)",00,Total for all sectors,2015,398,6023,41334,190881
