GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQ1T,PAYANT
Geographic identifier code,Id2,Geographic area name,2002 NAICS code,Meaning of 2002 NAICS code,Year,Number of establishments,Number of employees,"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US63001,63001,"ZIP 63001 (Allenton, MO)",00,Total for all sectors,2005,8,30,131,584
8610000US63005,63005,"ZIP 63005 (Chesterfield, MO)",00,Total for all sectors,2005,910,17638,151889,694105
8610000US63006,63006,"ZIP 63006 (Chesterfield, MO)",00,Total for all sectors,2005,32,173,1427,7299
8610000US63010,63010,"ZIP 63010 (Arnold, MO)",00,Total for all sectors,2005,792,10707,59843,256212
8610000US63011,63011,"ZIP 63011 (Ballwin, MO)",00,Total for all sectors,2005,1401,19222,136772,564830
8610000US63012,63012,"ZIP 63012 (Barnhart, MO)",00,Total for all sectors,2005,136,899,5503,24162
8610000US63013,63013,"ZIP 63013 (Beaufort, MO)",00,Total for all sectors,2005,38,160,837,3966
8610000US63014,63014,"ZIP 63014 (Berger, MO)",00,Total for all sectors,2005,8,45,143,726
8610000US63015,63015,"ZIP 63015 (Catawissa, MO)",00,Total for all sectors,2005,26,74,334,1631
8610000US63016,63016,"ZIP 63016 (Cedar Hill, MO)",00,Total for all sectors,2005,122,534,3046,14481
8610000US63017,63017,"ZIP 63017 (Chesterfield, MO)",00,Total for all sectors,2005,1731,35397,438039,1743621
8610000US63019,63019,"ZIP 63019 (Crystal City, MO)",00,Total for all sectors,2005,274,3122,19689,81481
8610000US63020,63020,"ZIP 63020 (De Soto, MO)",00,Total for all sectors,2005,335,2896,13160,58270
8610000US63021,63021,"ZIP 63021 (Ballwin, MO)",00,Total for all sectors,2005,826,6744,50014,232173
8610000US63022,63022,"ZIP 63022 (Ballwin, MO)",00,Total for all sectors,2005,19,152,1150,5060
8610000US63023,63023,"ZIP 63023 (Dittmer, MO)",00,Total for all sectors,2005,54,215,1254,5820
8610000US63024,63024,"ZIP 63024 (Ballwin, MO)",00,Total for all sectors,2005,5,4,11,79
8610000US63025,63025,"ZIP 63025 (Eureka, MO)",00,Total for all sectors,2005,394,6553,29129,133933
8610000US63026,63026,"ZIP 63026 (Fenton, MO)",00,Total for all sectors,2005,1365,31624,306350,1344020
8610000US63028,63028,"ZIP 63028 (Festus, MO)",00,Total for all sectors,2005,586,6480,37947,165195
8610000US63030,63030,"ZIP 63030 (Fletcher, MO)",00,Total for all sectors,2005,2,a,D,D
8610000US63031,63031,"ZIP 63031 (Florissant, MO)",00,Total for all sectors,2005,785,7977,44922,199782
8610000US63032,63032,"ZIP 63032 (Florissant, MO)",00,Total for all sectors,2005,14,39,119,528
8610000US63033,63033,"ZIP 63033 (Florissant, MO)",00,Total for all sectors,2005,694,8809,37922,162652
8610000US63034,63034,"ZIP 63034 (Florissant, MO)",00,Total for all sectors,2005,255,2810,11643,53329
8610000US63036,63036,"ZIP 63036 (French Village, MO)",00,Total for all sectors,2005,10,44,172,801
8610000US63037,63037,"ZIP 63037 (Gerald, MO)",00,Total for all sectors,2005,59,620,4161,14729
8610000US63038,63038,"ZIP 63038 (Glencoe, MO)",00,Total for all sectors,2005,171,850,6842,32010
8610000US63039,63039,"ZIP 63039 (Gray Summit, MO)",00,Total for all sectors,2005,18,4064,3759,14140
8610000US63040,63040,"ZIP 63040 (Grover, MO)",00,Total for all sectors,2005,169,1380,7089,32720
8610000US63041,63041,"ZIP 63041 (Grubville, MO)",00,Total for all sectors,2005,7,20,119,510
8610000US63042,63042,"ZIP 63042 (Hazelwood, MO)",00,Total for all sectors,2005,679,19988,216228,898813
8610000US63043,63043,"ZIP 63043 (Maryland Heights, MO)",00,Total for all sectors,2005,892,30273,358003,1448794
8610000US63044,63044,"ZIP 63044 (Bridgeton, MO)",00,Total for all sectors,2005,878,27691,225992,978625
8610000US63045,63045,"ZIP 63045 (Earth City, MO)",00,Total for all sectors,2005,342,16281,205470,841069
8610000US63047,63047,"ZIP 63047 (Hematite, MO)",00,Total for all sectors,2005,1,b,D,D
8610000US63048,63048,"ZIP 63048 (Herculaneum, MO)",00,Total for all sectors,2005,76,1200,8443,39818
8610000US63049,63049,"ZIP 63049 (High Ridge, MO)",00,Total for all sectors,2005,356,3034,18306,83235
8610000US63050,63050,"ZIP 63050 (Hillsboro, MO)",00,Total for all sectors,2005,287,1933,8535,40226
8610000US63051,63051,"ZIP 63051 (House Springs, MO)",00,Total for all sectors,2005,232,1641,8691,38959
8610000US63052,63052,"ZIP 63052 (Imperial, MO)",00,Total for all sectors,2005,347,2306,15969,73931
8610000US63053,63053,"ZIP 63053 (Kimmswick, MO)",00,Total for all sectors,2005,14,274,426,2159
8610000US63055,63055,"ZIP 63055 (Labadie, MO)",00,Total for all sectors,2005,75,800,9093,38978
8610000US63056,63056,"ZIP 63056 (Leslie, MO)",00,Total for all sectors,2005,13,71,571,2482
8610000US63057,63057,"ZIP 63057 (Liguori, MO)",00,Total for all sectors,2005,6,c,D,D
8610000US63060,63060,"ZIP 63060 (Lonedell, MO)",00,Total for all sectors,2005,29,159,761,3223
8610000US63061,63061,"ZIP 63061 (Luebbering, MO)",00,Total for all sectors,2005,3,6,13,54
8610000US63065,63065,"ZIP 63065 (Mapaville, MO)",00,Total for all sectors,2005,10,198,796,3553
8610000US63066,63066,"ZIP 63066 (Morse Mill, MO)",00,Total for all sectors,2005,2,a,D,D
8610000US63068,63068,"ZIP 63068 (New Haven, MO)",00,Total for all sectors,2005,130,1609,11492,42744
8610000US63069,63069,"ZIP 63069 (Pacific, MO)",00,Total for all sectors,2005,372,4520,35102,160212
8610000US63070,63070,"ZIP 63070 (Pevely, MO)",00,Total for all sectors,2005,118,1520,12561,59963
8610000US63071,63071,"ZIP 63071 (Richwoods, MO)",00,Total for all sectors,2005,7,49,288,1178
8610000US63072,63072,"ZIP 63072 (Robertsville, MO)",00,Total for all sectors,2005,41,126,508,2203
8610000US63073,63073,"ZIP 63073 (Saint Albans, MO)",00,Total for all sectors,2005,22,270,1884,9008
8610000US63074,63074,"ZIP 63074 (Saint Ann, MO)",00,Total for all sectors,2005,390,5147,24963,102051
8610000US63077,63077,"ZIP 63077 (Saint Clair, MO)",00,Total for all sectors,2005,273,2567,15555,63289
8610000US63079,63079,"ZIP 63079 (Stanton, MO)",00,Total for all sectors,2005,12,17,69,381
8610000US63080,63080,"ZIP 63080 (Sullivan, MO)",00,Total for all sectors,2005,353,5163,30561,131443
8610000US63084,63084,"ZIP 63084 (Union, MO)",00,Total for all sectors,2005,464,5510,36130,149856
8610000US63087,63087,"ZIP 63087 (Valles Mines, MO)",00,Total for all sectors,2005,14,42,127,426
8610000US63088,63088,"ZIP 63088 (Valley Park, MO)",00,Total for all sectors,2005,238,3156,20098,90240
8610000US63089,63089,"ZIP 63089 (Villa Ridge, MO)",00,Total for all sectors,2005,102,557,3358,14898
8610000US63090,63090,"ZIP 63090 (Washington, MO)",00,Total for all sectors,2005,798,11353,72955,327128
8610000US63091,63091,"ZIP 63091 (Rosebud, MO)",00,Total for all sectors,2005,30,181,958,6583
8610000US63099,63099,"ZIP 63099 (Fenton, MO)",00,Total for all sectors,2005,7,h,D,D
8610000US63101,63101,"ZIP 63101 (Saint Louis, MO)",00,Total for all sectors,2005,653,29174,435688,1597642
8610000US63102,63102,"ZIP 63102 (Saint Louis, MO)",00,Total for all sectors,2005,557,18998,240300,1065434
8610000US63103,63103,"ZIP 63103 (Saint Louis, MO)",00,Total for all sectors,2005,776,32833,436427,1516349
8610000US63104,63104,"ZIP 63104 (Saint Louis, MO)",00,Total for all sectors,2005,567,15242,116563,494393
8610000US63105,63105,"ZIP 63105 (Saint Louis, MO)",00,Total for all sectors,2005,1652,26617,416348,1687143
8610000US63106,63106,"ZIP 63106 (Saint Louis, MO)",00,Total for all sectors,2005,195,3457,28412,121622
8610000US63107,63107,"ZIP 63107 (Saint Louis, MO)",00,Total for all sectors,2005,174,1825,9571,45193
8610000US63108,63108,"ZIP 63108 (Saint Louis, MO)",00,Total for all sectors,2005,803,13612,99263,422615
8610000US63109,63109,"ZIP 63109 (Saint Louis, MO)",00,Total for all sectors,2005,560,5021,28472,124244
8610000US63110,63110,"ZIP 63110 (Saint Louis, MO)",00,Total for all sectors,2005,750,32062,293655,1255060
8610000US63111,63111,"ZIP 63111 (Saint Louis, MO)",00,Total for all sectors,2005,311,5048,38341,163209
8610000US63112,63112,"ZIP 63112 (Saint Louis, MO)",00,Total for all sectors,2005,223,3540,22800,103216
8610000US63113,63113,"ZIP 63113 (Saint Louis, MO)",00,Total for all sectors,2005,199,2850,17689,70512
8610000US63114,63114,"ZIP 63114 (Saint Louis, MO)",00,Total for all sectors,2005,771,16580,151759,613971
8610000US63115,63115,"ZIP 63115 (Saint Louis, MO)",00,Total for all sectors,2005,248,2794,18285,76043
8610000US63116,63116,"ZIP 63116 (Saint Louis, MO)",00,Total for all sectors,2005,571,7450,49937,208657
8610000US63117,63117,"ZIP 63117 (Saint Louis, MO)",00,Total for all sectors,2005,752,12496,99927,434224
8610000US63118,63118,"ZIP 63118 (Saint Louis, MO)",00,Total for all sectors,2005,565,13113,202104,652425
8610000US63119,63119,"ZIP 63119 (Saint Louis, MO)",00,Total for all sectors,2005,1172,16107,104490,452735
8610000US63120,63120,"ZIP 63120 (Saint Louis, MO)",00,Total for all sectors,2005,134,3806,34585,138250
8610000US63121,63121,"ZIP 63121 (Saint Louis, MO)",00,Total for all sectors,2005,315,4032,26149,109495
8610000US63122,63122,"ZIP 63122 (Saint Louis, MO)",00,Total for all sectors,2005,1334,19089,150895,643932
8610000US63123,63123,"ZIP 63123 (Saint Louis, MO)",00,Total for all sectors,2005,952,12712,95105,411710
8610000US63124,63124,"ZIP 63124 (Saint Louis, MO)",00,Total for all sectors,2005,499,9595,105845,403035
8610000US63125,63125,"ZIP 63125 (Saint Louis, MO)",00,Total for all sectors,2005,683,10177,79962,337171
8610000US63126,63126,"ZIP 63126 (Saint Louis, MO)",00,Total for all sectors,2005,673,6915,40490,170009
8610000US63127,63127,"ZIP 63127 (Saint Louis, MO)",00,Total for all sectors,2005,446,8309,84446,340639
8610000US63128,63128,"ZIP 63128 (Saint Louis, MO)",00,Total for all sectors,2005,834,13199,111752,492624
8610000US63129,63129,"ZIP 63129 (Saint Louis, MO)",00,Total for all sectors,2005,1064,12174,67560,309610
8610000US63130,63130,"ZIP 63130 (Saint Louis, MO)",00,Total for all sectors,2005,580,22240,198747,858807
8610000US63131,63131,"ZIP 63131 (Saint Louis, MO)",00,Total for all sectors,2005,1228,21789,220076,896047
8610000US63132,63132,"ZIP 63132 (Saint Louis, MO)",00,Total for all sectors,2005,932,25526,254723,1026527
8610000US63133,63133,"ZIP 63133 (Saint Louis, MO)",00,Total for all sectors,2005,193,3355,32694,128564
8610000US63134,63134,"ZIP 63134 (Saint Louis, MO)",00,Total for all sectors,2005,329,15105,165002,654194
8610000US63135,63135,"ZIP 63135 (Saint Louis, MO)",00,Total for all sectors,2005,277,3018,17169,71491
8610000US63136,63136,"ZIP 63136 (Saint Louis, MO)",00,Total for all sectors,2005,615,10924,99154,435159
8610000US63137,63137,"ZIP 63137 (Saint Louis, MO)",00,Total for all sectors,2005,164,1652,9830,43804
8610000US63138,63138,"ZIP 63138 (Saint Louis, MO)",00,Total for all sectors,2005,218,2007,10571,48108
8610000US63139,63139,"ZIP 63139 (Saint Louis, MO)",00,Total for all sectors,2005,690,10795,85615,361083
8610000US63140,63140,"ZIP 63140 (Saint Louis, MO)",00,Total for all sectors,2005,15,222,1672,5506
8610000US63141,63141,"ZIP 63141 (Saint Louis, MO)",00,Total for all sectors,2005,1878,47712,677126,2510818
