GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US63070,63070,"ZIP 63070 (Pevely, MO)",00,Total for all sectors,2013,137,1815,21007,92374
8610000US63071,63071,"ZIP 63071 (Richwoods, MO)",00,Total for all sectors,2013,10,b,D,D
8610000US63072,63072,"ZIP 63072 (Robertsville, MO)",00,Total for all sectors,2013,33,109,568,2689
8610000US63073,63073,"ZIP 63073 (Saint Albans, MO)",00,Total for all sectors,2013,27,222,1596,7756
8610000US63074,63074,"ZIP 63074 (Saint Ann, MO)",00,Total for all sectors,2013,273,2499,15052,63246
8610000US63077,63077,"ZIP 63077 (Saint Clair, MO)",00,Total for all sectors,2013,217,1932,13623,59331
8610000US63079,63079,"ZIP 63079 (Stanton, MO)",00,Total for all sectors,2013,4,a,D,D
8610000US63080,63080,"ZIP 63080 (Sullivan, MO)",00,Total for all sectors,2013,351,4715,34101,141736
8610000US63084,63084,"ZIP 63084 (Union, MO)",00,Total for all sectors,2013,456,6338,54582,217802
8610000US63087,63087,"ZIP 63087 (Valles Mines, MO)",00,Total for all sectors,2013,9,a,S,162
8610000US63088,63088,"ZIP 63088 (Valley Park, MO)",00,Total for all sectors,2013,233,2958,20434,89350
8610000US63089,63089,"ZIP 63089 (Villa Ridge, MO)",00,Total for all sectors,2013,89,526,3766,16516
8610000US63090,63090,"ZIP 63090 (Washington, MO)",00,Total for all sectors,2013,820,12727,111445,481117
8610000US63091,63091,"ZIP 63091 (Rosebud, MO)",00,Total for all sectors,2013,26,159,720,2693
8610000US63099,63099,"ZIP 63099 (Fenton, MO)",00,Total for all sectors,2013,12,g,D,D
8610000US63101,63101,"ZIP 63101 (Saint Louis, MO)",00,Total for all sectors,2013,675,18952,380794,1314109
8610000US63102,63102,"ZIP 63102 (Saint Louis, MO)",00,Total for all sectors,2013,476,18325,326217,1343509
8610000US63103,63103,"ZIP 63103 (Saint Louis, MO)",00,Total for all sectors,2013,818,31675,501261,1602717
8610000US63104,63104,"ZIP 63104 (Saint Louis, MO)",00,Total for all sectors,2013,607,14717,168147,680861
8610000US63105,63105,"ZIP 63105 (Saint Louis, MO)",00,Total for all sectors,2013,1490,26623,663475,2471507
8610000US63106,63106,"ZIP 63106 (Saint Louis, MO)",00,Total for all sectors,2013,294,4590,44494,185059
8610000US63107,63107,"ZIP 63107 (Saint Louis, MO)",00,Total for all sectors,2013,206,1473,9980,43085
8610000US63108,63108,"ZIP 63108 (Saint Louis, MO)",00,Total for all sectors,2013,862,13769,123074,472886
8610000US63109,63109,"ZIP 63109 (Saint Louis, MO)",00,Total for all sectors,2013,540,4499,29276,124256
8610000US63110,63110,"ZIP 63110 (Saint Louis, MO)",00,Total for all sectors,2013,777,28779,359284,1380095
8610000US63111,63111,"ZIP 63111 (Saint Louis, MO)",00,Total for all sectors,2013,355,5016,46963,191172
8610000US63112,63112,"ZIP 63112 (Saint Louis, MO)",00,Total for all sectors,2013,341,3481,24945,105426
8610000US63113,63113,"ZIP 63113 (Saint Louis, MO)",00,Total for all sectors,2013,244,2108,14722,58764
8610000US63114,63114,"ZIP 63114 (Saint Louis, MO)",00,Total for all sectors,2013,844,15813,172279,682396
8610000US63115,63115,"ZIP 63115 (Saint Louis, MO)",00,Total for all sectors,2013,454,2626,20013,82706
8610000US63116,63116,"ZIP 63116 (Saint Louis, MO)",00,Total for all sectors,2013,626,7018,54365,226212
8610000US63117,63117,"ZIP 63117 (Saint Louis, MO)",00,Total for all sectors,2013,640,10950,96285,418103
8610000US63118,63118,"ZIP 63118 (Saint Louis, MO)",00,Total for all sectors,2013,650,10950,241333,699829
8610000US63119,63119,"ZIP 63119 (Saint Louis, MO)",00,Total for all sectors,2013,1072,15515,117676,515595
8610000US63120,63120,"ZIP 63120 (Saint Louis, MO)",00,Total for all sectors,2013,197,3854,43399,174539
8610000US63121,63121,"ZIP 63121 (Saint Louis, MO)",00,Total for all sectors,2013,379,i,D,D
8610000US63122,63122,"ZIP 63122 (Saint Louis, MO)",00,Total for all sectors,2013,1263,17184,153949,657441
8610000US63123,63123,"ZIP 63123 (Saint Louis, MO)",00,Total for all sectors,2013,937,12193,109680,462764
8610000US63124,63124,"ZIP 63124 (Saint Louis, MO)",00,Total for all sectors,2013,531,7165,83586,316063
8610000US63125,63125,"ZIP 63125 (Saint Louis, MO)",00,Total for all sectors,2013,619,10923,115259,482600
8610000US63126,63126,"ZIP 63126 (Saint Louis, MO)",00,Total for all sectors,2013,526,4914,37765,158594
8610000US63127,63127,"ZIP 63127 (Saint Louis, MO)",00,Total for all sectors,2013,515,9839,118686,468658
8610000US63128,63128,"ZIP 63128 (Saint Louis, MO)",00,Total for all sectors,2013,780,12834,149586,607858
8610000US63129,63129,"ZIP 63129 (Saint Louis, MO)",00,Total for all sectors,2013,1027,11165,74889,317131
8610000US63130,63130,"ZIP 63130 (Saint Louis, MO)",00,Total for all sectors,2013,583,j,D,D
8610000US63131,63131,"ZIP 63131 (Saint Louis, MO)",00,Total for all sectors,2013,1183,22373,304409,1134835
8610000US63132,63132,"ZIP 63132 (Saint Louis, MO)",00,Total for all sectors,2013,969,23610,247908,1051555
8610000US63133,63133,"ZIP 63133 (Saint Louis, MO)",00,Total for all sectors,2013,239,2127,19158,76954
8610000US63134,63134,"ZIP 63134 (Saint Louis, MO)",00,Total for all sectors,2013,505,j,D,D
8610000US63135,63135,"ZIP 63135 (Saint Louis, MO)",00,Total for all sectors,2013,301,2437,13565,57486
8610000US63136,63136,"ZIP 63136 (Saint Louis, MO)",00,Total for all sectors,2013,917,12719,143132,717801
8610000US63137,63137,"ZIP 63137 (Saint Louis, MO)",00,Total for all sectors,2013,202,1316,8510,38428
8610000US63138,63138,"ZIP 63138 (Saint Louis, MO)",00,Total for all sectors,2013,245,2282,12921,56118
8610000US63139,63139,"ZIP 63139 (Saint Louis, MO)",00,Total for all sectors,2013,576,10407,86990,348049
8610000US63140,63140,"ZIP 63140 (Saint Louis, MO)",00,Total for all sectors,2013,14,194,1245,5433
8610000US63141,63141,"ZIP 63141 (Saint Louis, MO)",00,Total for all sectors,2013,1851,48152,725027,2962786
8610000US63143,63143,"ZIP 63143 (Saint Louis, MO)",00,Total for all sectors,2013,444,7308,74800,307488
8610000US63144,63144,"ZIP 63144 (Saint Louis, MO)",00,Total for all sectors,2013,681,11736,114793,465831
8610000US63145,63145,"ZIP 63145 (Saint Louis, MO)",00,Total for all sectors,2013,41,h,D,D
8610000US63146,63146,"ZIP 63146 (Saint Louis, MO)",00,Total for all sectors,2013,1014,23406,361464,1355570
8610000US63147,63147,"ZIP 63147 (Saint Louis, MO)",00,Total for all sectors,2013,387,7405,85151,352713
8610000US63150,63150,"ZIP 63150 (Saint Louis, MO)",00,Total for all sectors,2013,1,a,D,D
8610000US63151,63151,"ZIP 63151 (Saint Louis, MO)",00,Total for all sectors,2013,8,29,166,622
8610000US63155,63155,"ZIP 63155 (Saint Louis, MO)",00,Total for all sectors,2013,3,a,76,281
8610000US63156,63156,"ZIP 63156 (Saint Louis, MO)",00,Total for all sectors,2013,2,a,D,D
8610000US63157,63157,"ZIP 63157 (Saint Louis, MO)",00,Total for all sectors,2013,3,a,S,287
8610000US63158,63158,"ZIP 63158 (Saint Louis, MO)",00,Total for all sectors,2013,3,a,D,D
8610000US63160,63160,"ZIP 63160 (Saint Louis, MO)",00,Total for all sectors,2013,1,a,D,D
8610000US63163,63163,"ZIP 63163 (Saint Louis, MO)",00,Total for all sectors,2013,7,e,D,D
8610000US63164,63164,"ZIP 63164 (Saint Louis, MO)",00,Total for all sectors,2013,4,g,D,D
8610000US63166,63166,"ZIP 63166 (Saint Louis, MO)",00,Total for all sectors,2013,17,290,S,14651
8610000US63167,63167,"ZIP 63167 (Saint Louis, MO)",00,Total for all sectors,2013,11,817,15107,79990
8610000US63177,63177,"ZIP 63177 (Saint Louis, MO)",00,Total for all sectors,2013,2,b,D,D
8610000US63178,63178,"ZIP 63178 (Saint Louis, MO)",00,Total for all sectors,2013,3,e,D,D
8610000US63180,63180,"ZIP 63180 (Saint Louis, MO)",00,Total for all sectors,2013,9,a,D,D
8610000US63301,63301,"ZIP 63301 (Saint Charles, MO)",00,Total for all sectors,2013,1356,25145,209907,873934
8610000US63302,63302,"ZIP 63302 (Saint Charles, MO)",00,Total for all sectors,2013,19,e,D,D
8610000US63303,63303,"ZIP 63303 (Saint Charles, MO)",00,Total for all sectors,2013,947,10700,76793,338815
8610000US63304,63304,"ZIP 63304 (Saint Charles, MO)",00,Total for all sectors,2013,840,12118,120378,490510
8610000US63332,63332,"ZIP 63332 (Augusta, MO)",00,Total for all sectors,2013,32,154,896,4463
8610000US63333,63333,"ZIP 63333 (Bellflower, MO)",00,Total for all sectors,2013,9,b,D,D
8610000US63334,63334,"ZIP 63334 (Bowling Green, MO)",00,Total for all sectors,2013,179,2029,14152,57358
8610000US63336,63336,"ZIP 63336 (Clarksville, MO)",00,Total for all sectors,2013,28,117,644,3173
8610000US63338,63338,"ZIP 63338 (Cottleville, MO)",00,Total for all sectors,2013,11,c,D,D
8610000US63339,63339,"ZIP 63339 (Curryville, MO)",00,Total for all sectors,2013,13,b,D,D
8610000US63341,63341,"ZIP 63341 (Defiance, MO)",00,Total for all sectors,2013,86,533,4191,19831
8610000US63342,63342,"ZIP 63342 (Dutzow, MO)",00,Total for all sectors,2013,4,b,487,1789
8610000US63343,63343,"ZIP 63343 (Elsberry, MO)",00,Total for all sectors,2013,66,285,1500,6986
8610000US63344,63344,"ZIP 63344 (Eolia, MO)",00,Total for all sectors,2013,17,168,1626,8368
8610000US63345,63345,"ZIP 63345 (Farber, MO)",00,Total for all sectors,2013,7,16,124,598
8610000US63346,63346,"ZIP 63346 (Flinthill, MO)",00,Total for all sectors,2013,8,b,D,D
8610000US63347,63347,"ZIP 63347 (Foley, MO)",00,Total for all sectors,2013,18,b,396,1913
8610000US63348,63348,"ZIP 63348 (Foristell, MO)",00,Total for all sectors,2013,124,818,6031,27290
8610000US63349,63349,"ZIP 63349 (Hawk Point, MO)",00,Total for all sectors,2013,29,107,573,2390
8610000US63350,63350,"ZIP 63350 (High Hill, MO)",00,Total for all sectors,2013,10,c,S,5592
8610000US63351,63351,"ZIP 63351 (Jonesburg, MO)",00,Total for all sectors,2013,33,488,3224,13864
8610000US63352,63352,"ZIP 63352 (Laddonia, MO)",00,Total for all sectors,2013,22,c,D,D
8610000US63353,63353,"ZIP 63353 (Louisiana, MO)",00,Total for all sectors,2013,143,1789,12983,54138
8610000US63357,63357,"ZIP 63357 (Marthasville, MO)",00,Total for all sectors,2013,93,745,5552,26097
8610000US63359,63359,"ZIP 63359 (Middletown, MO)",00,Total for all sectors,2013,13,b,120,605
8610000US63361,63361,"ZIP 63361 (Montgomery City, MO)",00,Total for all sectors,2013,121,750,4674,19265
8610000US63362,63362,"ZIP 63362 (Moscow Mills, MO)",00,Total for all sectors,2013,103,848,6092,28496
8610000US63363,63363,"ZIP 63363 (New Florence, MO)",00,Total for all sectors,2013,38,492,3612,15274
8610000US63365,63365,"ZIP 63365 (New Melle, MO)",00,Total for all sectors,2013,28,183,1337,7174
8610000US63366,63366,"ZIP 63366 (O Fallon, MO)",00,Total for all sectors,2013,1171,19240,233959,824084
8610000US63367,63367,"ZIP 63367 (Lake Saint Louis, MO)",00,Total for all sectors,2013,425,5332,39766,171458
8610000US63368,63368,"ZIP 63368 (O Fallon, MO)",00,Total for all sectors,2013,617,12394,159807,589830
8610000US63369,63369,"ZIP 63369 (Old Monroe, MO)",00,Total for all sectors,2013,47,316,3022,12633
8610000US63373,63373,"ZIP 63373 (Portage Des Sioux, MO)",00,Total for all sectors,2013,13,b,172,745
8610000US63376,63376,"ZIP 63376 (Saint Peters, MO)",00,Total for all sectors,2013,1596,23495,181658,798380
8610000US63377,63377,"ZIP 63377 (Silex, MO)",00,Total for all sectors,2013,44,266,1548,6747
8610000US63379,63379,"ZIP 63379 (Troy, MO)",00,Total for all sectors,2013,485,5307,43106,187343
8610000US63380,63380,"ZIP 63380 (Truesdale, MO)",00,Total for all sectors,2013,1,a,D,D
8610000US63381,63381,"ZIP 63381 (Truxton, MO)",00,Total for all sectors,2013,4,a,D,D
8610000US63382,63382,"ZIP 63382 (Vandalia, MO)",00,Total for all sectors,2013,65,614,4521,19770
8610000US63383,63383,"ZIP 63383 (Warrenton, MO)",00,Total for all sectors,2013,324,3514,25563,107870
8610000US63384,63384,"ZIP 63384 (Wellsville, MO)",00,Total for all sectors,2013,34,c,999,3991
8610000US63385,63385,"ZIP 63385 (Wentzville, MO)",00,Total for all sectors,2013,818,11456,125176,469604
8610000US63386,63386,"ZIP 63386 (West Alton, MO)",00,Total for all sectors,2013,20,281,6092,23755
8610000US63387,63387,"ZIP 63387 (Whiteside, MO)",00,Total for all sectors,2013,5,a,S,402
8610000US63388,63388,"ZIP 63388 (Williamsburg, MO)",00,Total for all sectors,2013,11,43,161,571
8610000US63389,63389,"ZIP 63389 (Winfield, MO)",00,Total for all sectors,2013,79,551,3279,15693
8610000US63390,63390,"ZIP 63390 (Wright City, MO)",00,Total for all sectors,2013,148,1381,10074,46277
8610000US63401,63401,"ZIP 63401 (Hannibal, MO)",00,Total for all sectors,2013,675,10795,86438,361633
8610000US63430,63430,"ZIP 63430 (Alexandria, MO)",00,Total for all sectors,2013,7,b,S,715
8610000US63431,63431,"ZIP 63431 (Anabel, MO)",00,Total for all sectors,2013,3,b,D,D
8610000US63432,63432,"ZIP 63432 (Arbela, MO)",00,Total for all sectors,2013,9,b,D,D
8610000US63434,63434,"ZIP 63434 (Bethel, MO)",00,Total for all sectors,2013,10,58,315,1432
8610000US63435,63435,"ZIP 63435 (Canton, MO)",00,Total for all sectors,2013,84,1013,5836,23926
