GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US63005,63005,"ZIP 63005 (Chesterfield, MO)",00,Total for all sectors,2012,1089,19142,188473,796673
8610000US63006,63006,"ZIP 63006 (Chesterfield, MO)",00,Total for all sectors,2012,23,b,S,1608
8610000US63010,63010,"ZIP 63010 (Arnold, MO)",00,Total for all sectors,2012,777,11034,72914,307407
8610000US63011,63011,"ZIP 63011 (Ballwin, MO)",00,Total for all sectors,2012,1318,17887,131766,557153
8610000US63012,63012,"ZIP 63012 (Barnhart, MO)",00,Total for all sectors,2012,131,750,5296,22336
8610000US63013,63013,"ZIP 63013 (Beaufort, MO)",00,Total for all sectors,2012,34,c,D,D
8610000US63014,63014,"ZIP 63014 (Berger, MO)",00,Total for all sectors,2012,5,a,23,128
8610000US63015,63015,"ZIP 63015 (Catawissa, MO)",00,Total for all sectors,2012,28,103,428,2209
8610000US63016,63016,"ZIP 63016 (Cedar Hill, MO)",00,Total for all sectors,2012,93,486,3621,16350
8610000US63017,63017,"ZIP 63017 (Chesterfield, MO)",00,Total for all sectors,2012,1732,40315,707741,2622759
8610000US63019,63019,"ZIP 63019 (Crystal City, MO)",00,Total for all sectors,2012,185,h,D,D
8610000US63020,63020,"ZIP 63020 (De Soto, MO)",00,Total for all sectors,2012,279,2200,11575,52241
8610000US63021,63021,"ZIP 63021 (Ballwin, MO)",00,Total for all sectors,2012,751,6076,55247,230582
8610000US63022,63022,"ZIP 63022 (Ballwin, MO)",00,Total for all sectors,2012,16,32,267,1383
8610000US63023,63023,"ZIP 63023 (Dittmer, MO)",00,Total for all sectors,2012,40,181,1284,5796
8610000US63024,63024,"ZIP 63024 (Ballwin, MO)",00,Total for all sectors,2012,2,a,D,D
8610000US63025,63025,"ZIP 63025 (Eureka, MO)",00,Total for all sectors,2012,390,5962,40670,173874
8610000US63026,63026,"ZIP 63026 (Fenton, MO)",00,Total for all sectors,2012,1350,25264,279999,1135292
8610000US63028,63028,"ZIP 63028 (Festus, MO)",00,Total for all sectors,2012,640,6300,47756,198285
8610000US63030,63030,"ZIP 63030 (Fletcher, MO)",00,Total for all sectors,2012,3,a,D,D
8610000US63031,63031,"ZIP 63031 (Florissant, MO)",00,Total for all sectors,2012,665,7005,45029,192409
8610000US63032,63032,"ZIP 63032 (Florissant, MO)",00,Total for all sectors,2012,5,a,D,D
8610000US63033,63033,"ZIP 63033 (Florissant, MO)",00,Total for all sectors,2012,701,7644,40902,170346
8610000US63034,63034,"ZIP 63034 (Florissant, MO)",00,Total for all sectors,2012,198,1541,8100,33847
8610000US63036,63036,"ZIP 63036 (French Village, MO)",00,Total for all sectors,2012,8,44,231,969
8610000US63037,63037,"ZIP 63037 (Gerald, MO)",00,Total for all sectors,2012,52,708,5513,21054
8610000US63038,63038,"ZIP 63038 (Glencoe, MO)",00,Total for all sectors,2012,156,696,5614,27817
8610000US63039,63039,"ZIP 63039 (Gray Summit, MO)",00,Total for all sectors,2012,18,f,D,D
8610000US63040,63040,"ZIP 63040 (Grover, MO)",00,Total for all sectors,2012,184,1941,12525,54519
8610000US63041,63041,"ZIP 63041 (Grubville, MO)",00,Total for all sectors,2012,6,5,S,115
8610000US63042,63042,"ZIP 63042 (Hazelwood, MO)",00,Total for all sectors,2012,705,17501,188230,785954
8610000US63043,63043,"ZIP 63043 (Maryland Heights, MO)",00,Total for all sectors,2012,821,27062,362984,1536412
8610000US63044,63044,"ZIP 63044 (Bridgeton, MO)",00,Total for all sectors,2012,810,22891,237420,963778
8610000US63045,63045,"ZIP 63045 (Earth City, MO)",00,Total for all sectors,2012,324,14515,220963,944675
8610000US63047,63047,"ZIP 63047 (Hematite, MO)",00,Total for all sectors,2012,2,a,D,D
8610000US63048,63048,"ZIP 63048 (Herculaneum, MO)",00,Total for all sectors,2012,76,1678,13355,49447
8610000US63049,63049,"ZIP 63049 (High Ridge, MO)",00,Total for all sectors,2012,318,2819,20476,92483
8610000US63050,63050,"ZIP 63050 (Hillsboro, MO)",00,Total for all sectors,2012,261,1564,9393,41602
8610000US63051,63051,"ZIP 63051 (House Springs, MO)",00,Total for all sectors,2012,215,1432,9110,37371
8610000US63052,63052,"ZIP 63052 (Imperial, MO)",00,Total for all sectors,2012,299,1961,13509,58551
8610000US63053,63053,"ZIP 63053 (Kimmswick, MO)",00,Total for all sectors,2012,9,79,S,1318
8610000US63055,63055,"ZIP 63055 (Labadie, MO)",00,Total for all sectors,2012,65,694,S,46344
8610000US63056,63056,"ZIP 63056 (Leslie, MO)",00,Total for all sectors,2012,18,70,369,1574
8610000US63057,63057,"ZIP 63057 (Liguori, MO)",00,Total for all sectors,2012,7,b,D,D
8610000US63060,63060,"ZIP 63060 (Lonedell, MO)",00,Total for all sectors,2012,24,124,714,3008
8610000US63061,63061,"ZIP 63061 (Luebbering, MO)",00,Total for all sectors,2012,3,a,D,D
8610000US63065,63065,"ZIP 63065 (Mapaville, MO)",00,Total for all sectors,2012,7,c,1071,4704
8610000US63066,63066,"ZIP 63066 (Morse Mill, MO)",00,Total for all sectors,2012,1,a,D,D
8610000US63068,63068,"ZIP 63068 (New Haven, MO)",00,Total for all sectors,2012,130,1104,8140,34266
8610000US63069,63069,"ZIP 63069 (Pacific, MO)",00,Total for all sectors,2012,359,3999,30609,133774
8610000US63070,63070,"ZIP 63070 (Pevely, MO)",00,Total for all sectors,2012,131,1806,20980,94394
8610000US63071,63071,"ZIP 63071 (Richwoods, MO)",00,Total for all sectors,2012,7,b,D,D
8610000US63072,63072,"ZIP 63072 (Robertsville, MO)",00,Total for all sectors,2012,33,106,487,2758
8610000US63073,63073,"ZIP 63073 (Saint Albans, MO)",00,Total for all sectors,2012,27,c,1505,7849
8610000US63074,63074,"ZIP 63074 (Saint Ann, MO)",00,Total for all sectors,2012,263,2543,15539,67856
8610000US63077,63077,"ZIP 63077 (Saint Clair, MO)",00,Total for all sectors,2012,236,1960,13358,58273
8610000US63079,63079,"ZIP 63079 (Stanton, MO)",00,Total for all sectors,2012,4,a,D,D
8610000US63080,63080,"ZIP 63080 (Sullivan, MO)",00,Total for all sectors,2012,362,5037,37610,157747
8610000US63084,63084,"ZIP 63084 (Union, MO)",00,Total for all sectors,2012,460,6387,51743,220135
8610000US63087,63087,"ZIP 63087 (Valles Mines, MO)",00,Total for all sectors,2012,5,10,S,108
8610000US63088,63088,"ZIP 63088 (Valley Park, MO)",00,Total for all sectors,2012,233,3018,21165,93330
8610000US63089,63089,"ZIP 63089 (Villa Ridge, MO)",00,Total for all sectors,2012,85,551,3760,17563
8610000US63090,63090,"ZIP 63090 (Washington, MO)",00,Total for all sectors,2012,816,12283,100064,449352
8610000US63091,63091,"ZIP 63091 (Rosebud, MO)",00,Total for all sectors,2012,25,157,689,2819
8610000US63099,63099,"ZIP 63099 (Fenton, MO)",00,Total for all sectors,2012,11,h,D,D
