GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,EMP_N,PAYQTR1,PAYQTR1_N,PAYANN,PAYANN_N
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),Noise range for paid employees for pay period including March 12 (%),"First-quarter payroll ($1,000)",Noise range for first-quarter payroll (%),"Annual payroll ($1,000)",Noise range for annual payroll (%)
8610000US63069,63069,"ZIP 63069 (Pacific, MO)",00,Total for all sectors,2009,372,3606,G,27566,G,124081,G
8610000US63070,63070,"ZIP 63070 (Pevely, MO)",00,Total for all sectors,2009,123,1562,G,15975,G,74340,G
8610000US63071,63071,"ZIP 63071 (Richwoods, MO)",00,Total for all sectors,2009,21,84,G,585,G,2296,G
8610000US63072,63072,"ZIP 63072 (Robertsville, MO)",00,Total for all sectors,2009,33,95,G,423,G,2194,G
8610000US63073,63073,"ZIP 63073 (Saint Albans, MO)",00,Total for all sectors,2009,26,c,S,1685,H,8799,H
8610000US63074,63074,"ZIP 63074 (Saint Ann, MO)",00,Total for all sectors,2009,305,3674,G,19225,G,80301,G
8610000US63077,63077,"ZIP 63077 (Saint Clair, MO)",00,Total for all sectors,2009,236,2605,G,18834,G,76449,G
8610000US63079,63079,"ZIP 63079 (Stanton, MO)",00,Total for all sectors,2009,5,9,G,28,G,151,G
8610000US63080,63080,"ZIP 63080 (Sullivan, MO)",00,Total for all sectors,2009,359,5390,G,32956,G,139497,G
8610000US63084,63084,"ZIP 63084 (Union, MO)",00,Total for all sectors,2009,466,5381,G,38256,G,157892,G
8610000US63087,63087,"ZIP 63087 (Valles Mines, MO)",00,Total for all sectors,2009,8,a,S,S,S,101,G
8610000US63088,63088,"ZIP 63088 (Valley Park, MO)",00,Total for all sectors,2009,243,3094,G,22671,G,94381,G
8610000US63089,63089,"ZIP 63089 (Villa Ridge, MO)",00,Total for all sectors,2009,85,543,G,3423,G,15620,G
8610000US63090,63090,"ZIP 63090 (Washington, MO)",00,Total for all sectors,2009,799,11782,G,88770,G,368821,G
8610000US63091,63091,"ZIP 63091 (Rosebud, MO)",00,Total for all sectors,2009,26,130,G,622,G,2771,G
8610000US63099,63099,"ZIP 63099 (Fenton, MO)",00,Total for all sectors,2009,11,h,D,D,D,D,D
8610000US63101,63101,"ZIP 63101 (Saint Louis, MO)",00,Total for all sectors,2009,636,19136,G,337986,G,1158941,G
8610000US63102,63102,"ZIP 63102 (Saint Louis, MO)",00,Total for all sectors,2009,517,18582,G,284256,G,1128126,G
8610000US63103,63103,"ZIP 63103 (Saint Louis, MO)",00,Total for all sectors,2009,727,31602,G,394405,G,1437171,G
8610000US63104,63104,"ZIP 63104 (Saint Louis, MO)",00,Total for all sectors,2009,544,13597,G,143440,G,607939,G
8610000US63105,63105,"ZIP 63105 (Saint Louis, MO)",00,Total for all sectors,2009,1540,26846,G,509237,G,1988173,G
8610000US63106,63106,"ZIP 63106 (Saint Louis, MO)",00,Total for all sectors,2009,217,4613,G,45073,G,173297,G
8610000US63107,63107,"ZIP 63107 (Saint Louis, MO)",00,Total for all sectors,2009,163,1563,G,11701,G,47048,G
8610000US63108,63108,"ZIP 63108 (Saint Louis, MO)",00,Total for all sectors,2009,743,11838,G,92982,G,386039,G
8610000US63109,63109,"ZIP 63109 (Saint Louis, MO)",00,Total for all sectors,2009,523,4664,G,27293,G,117285,G
8610000US63110,63110,"ZIP 63110 (Saint Louis, MO)",00,Total for all sectors,2009,781,31076,G,329656,G,1384163,G
8610000US63111,63111,"ZIP 63111 (Saint Louis, MO)",00,Total for all sectors,2009,301,4687,H,40947,G,167658,G
8610000US63112,63112,"ZIP 63112 (Saint Louis, MO)",00,Total for all sectors,2009,225,3180,G,22570,G,99784,G
8610000US63113,63113,"ZIP 63113 (Saint Louis, MO)",00,Total for all sectors,2009,214,2523,G,16608,G,65237,G
8610000US63114,63114,"ZIP 63114 (Saint Louis, MO)",00,Total for all sectors,2009,778,20095,G,221222,G,896797,G
8610000US63115,63115,"ZIP 63115 (Saint Louis, MO)",00,Total for all sectors,2009,298,2800,G,22077,G,89699,G
8610000US63116,63116,"ZIP 63116 (Saint Louis, MO)",00,Total for all sectors,2009,545,7480,G,51734,G,229043,G
8610000US63117,63117,"ZIP 63117 (Saint Louis, MO)",00,Total for all sectors,2009,1012,12178,G,118369,G,502720,G
8610000US63118,63118,"ZIP 63118 (Saint Louis, MO)",00,Total for all sectors,2009,542,17284,G,335173,H,987318,H
8610000US63119,63119,"ZIP 63119 (Saint Louis, MO)",00,Total for all sectors,2009,1087,14951,G,111132,G,462515,G
8610000US63120,63120,"ZIP 63120 (Saint Louis, MO)",00,Total for all sectors,2009,140,3635,G,40531,G,150253,G
8610000US63121,63121,"ZIP 63121 (Saint Louis, MO)",00,Total for all sectors,2009,308,6239,G,S,S,359723,H
8610000US63122,63122,"ZIP 63122 (Saint Louis, MO)",00,Total for all sectors,2009,1247,17713,G,147834,G,616131,G
8610000US63123,63123,"ZIP 63123 (Saint Louis, MO)",00,Total for all sectors,2009,887,12175,G,109953,G,444136,G
8610000US63124,63124,"ZIP 63124 (Saint Louis, MO)",00,Total for all sectors,2009,456,13984,H,184780,H,562999,H
8610000US63125,63125,"ZIP 63125 (Saint Louis, MO)",00,Total for all sectors,2009,607,9597,G,88381,G,369661,G
