GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,YEAR.display-label,ESTAB,EMP,EMP_N,PAYQTR1,PAYQTR1_N,PAYANN,PAYANN_N
Geographic identifier code,Id2,Geographic area name,2002 NAICS code,Meaning of 2002 NAICS code,Year,Meaning of Year,Number of establishments,Number of employees,Noise range for number of employees (%),"First-quarter payroll ($1,000)",Noise range for first-quarter payroll (%),"Annual payroll ($1,000)",Noise range for annual payroll (%)
8610000US64145,64145,"ZIP 64145 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,214,5330,H,37181,H,156771,G
8610000US64146,64146,"ZIP 64146 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,23,206,G,1551,G,6553,G
8610000US64147,64147,"ZIP 64147 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,15,315,G,2908,G,13593,G
8610000US64148,64148,"ZIP 64148 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,11,b,S,480,G,1852,G
8610000US64149,64149,"ZIP 64149 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,18,104,G,752,G,3945,G
8610000US64150,64150,"ZIP 64150 (Riverside, MO)",00,Total for all sectors,2007,Reference year 2007,199,4823,G,41600,H,173709,H
8610000US64151,64151,"ZIP 64151 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,404,3653,G,21418,G,88191,G
8610000US64152,64152,"ZIP 64152 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,543,6059,G,44927,G,188561,G
8610000US64153,64153,"ZIP 64153 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,476,18298,G,183302,G,677123,G
8610000US64154,64154,"ZIP 64154 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,192,3905,G,25451,G,110032,G
8610000US64155,64155,"ZIP 64155 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,351,4424,G,23829,G,97712,G
8610000US64156,64156,"ZIP 64156 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,30,88,H,498,G,2376,G
8610000US64157,64157,"ZIP 64157 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,127,1672,G,7098,G,31190,G
8610000US64158,64158,"ZIP 64158 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,72,1690,H,9146,G,38816,G
8610000US64161,64161,"ZIP 64161 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,118,7676,G,66560,G,272686,G
8610000US64163,64163,"ZIP 64163 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,16,297,H,6109,H,25449,H
8610000US64164,64164,"ZIP 64164 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,8,105,G,761,G,3321,G
8610000US64165,64165,"ZIP 64165 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,3,61,G,320,G,1338,G
8610000US64166,64166,"ZIP 64166 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,2,a,D,D,D,D,D
8610000US64167,64167,"ZIP 64167 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,7,38,H,243,G,1091,G
8610000US64168,64168,"ZIP 64168 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,8,123,G,704,G,3209,G
8610000US64170,64170,"ZIP 64170 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,1,b,D,D,D,D,D
8610000US64171,64171,"ZIP 64171 (Kansas City, MO)",00,Total for all sectors,2007,Reference year 2007,4,a,D,D,D,D,D
