GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US63005,63005,"ZIP 63005 (Chesterfield, MO)",00,Total for all sectors,2016,1198,22628,208668,923831
8610000US63006,63006,"ZIP 63006 (Chesterfield, MO)",00,Total for all sectors,2016,14,75,622,2923
8610000US63010,63010,"ZIP 63010 (Arnold, MO)",00,Total for all sectors,2016,832,12594,97267,419858
8610000US63011,63011,"ZIP 63011 (Ballwin, MO)",00,Total for all sectors,2016,1351,17291,146099,626829
8610000US63012,63012,"ZIP 63012 (Barnhart, MO)",00,Total for all sectors,2016,146,826,6069,27491
8610000US63013,63013,"ZIP 63013 (Beaufort, MO)",00,Total for all sectors,2016,31,105,594,3387
8610000US63014,63014,"ZIP 63014 (Berger, MO)",00,Total for all sectors,2016,5,14,23,182
8610000US63015,63015,"ZIP 63015 (Catawissa, MO)",00,Total for all sectors,2016,30,106,569,2635
8610000US63016,63016,"ZIP 63016 (Cedar Hill, MO)",00,Total for all sectors,2016,107,657,5025,22322
8610000US63017,63017,"ZIP 63017 (Chesterfield, MO)",00,Total for all sectors,2016,1734,40682,775198,2894467
8610000US63019,63019,"ZIP 63019 (Crystal City, MO)",00,Total for all sectors,2016,187,2291,21898,95083
8610000US63020,63020,"ZIP 63020 (De Soto, MO)",00,Total for all sectors,2016,326,2573,14982,65314
8610000US63021,63021,"ZIP 63021 (Ballwin, MO)",00,Total for all sectors,2016,775,6448,58668,261206
8610000US63022,63022,"ZIP 63022 (Ballwin, MO)",00,Total for all sectors,2016,14,35,280,1409
8610000US63023,63023,"ZIP 63023 (Dittmer, MO)",00,Total for all sectors,2016,42,171,1163,6042
8610000US63024,63024,"ZIP 63024 (Ballwin, MO)",00,Total for all sectors,2016,1,a,D,D
8610000US63025,63025,"ZIP 63025 (Eureka, MO)",00,Total for all sectors,2016,408,6291,44141,201510
8610000US63026,63026,"ZIP 63026 (Fenton, MO)",00,Total for all sectors,2016,1349,26194,295509,1286790
8610000US63028,63028,"ZIP 63028 (Festus, MO)",00,Total for all sectors,2016,631,6588,53112,245594
