GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US63001,63001,"ZIP 63001 (Allenton, MO)",00,Total for all sectors,2010,6,b,D,D
8610000US63005,63005,"ZIP 63005 (Chesterfield, MO)",00,Total for all sectors,2010,1011,17811,147767,661189
8610000US63006,63006,"ZIP 63006 (Chesterfield, MO)",00,Total for all sectors,2010,15,c,D,D
8610000US63010,63010,"ZIP 63010 (Arnold, MO)",00,Total for all sectors,2010,805,10960,68649,298240
8610000US63011,63011,"ZIP 63011 (Ballwin, MO)",00,Total for all sectors,2010,1335,16276,127532,542683
8610000US63012,63012,"ZIP 63012 (Barnhart, MO)",00,Total for all sectors,2010,118,742,5498,24524
8610000US63013,63013,"ZIP 63013 (Beaufort, MO)",00,Total for all sectors,2010,38,144,958,4029
8610000US63014,63014,"ZIP 63014 (Berger, MO)",00,Total for all sectors,2010,6,24,84,372
8610000US63015,63015,"ZIP 63015 (Catawissa, MO)",00,Total for all sectors,2010,31,108,425,2605
8610000US63016,63016,"ZIP 63016 (Cedar Hill, MO)",00,Total for all sectors,2010,106,494,2891,13814
8610000US63017,63017,"ZIP 63017 (Chesterfield, MO)",00,Total for all sectors,2010,1694,37675,584203,2389427
8610000US63019,63019,"ZIP 63019 (Crystal City, MO)",00,Total for all sectors,2010,328,3332,23923,103738
8610000US63020,63020,"ZIP 63020 (De Soto, MO)",00,Total for all sectors,2010,309,2480,12763,54227
8610000US63021,63021,"ZIP 63021 (Ballwin, MO)",00,Total for all sectors,2010,743,5727,44016,197144
8610000US63022,63022,"ZIP 63022 (Ballwin, MO)",00,Total for all sectors,2010,15,170,746,3413
8610000US63023,63023,"ZIP 63023 (Dittmer, MO)",00,Total for all sectors,2010,54,201,1146,5522
8610000US63024,63024,"ZIP 63024 (Ballwin, MO)",00,Total for all sectors,2010,5,146,334,1205
8610000US63025,63025,"ZIP 63025 (Eureka, MO)",00,Total for all sectors,2010,390,6297,32492,151120
8610000US63026,63026,"ZIP 63026 (Fenton, MO)",00,Total for all sectors,2010,1333,25212,246745,1039027
8610000US63028,63028,"ZIP 63028 (Festus, MO)",00,Total for all sectors,2010,593,6405,43819,188957
8610000US63030,63030,"ZIP 63030 (Fletcher, MO)",00,Total for all sectors,2010,2,a,D,D
8610000US63031,63031,"ZIP 63031 (Florissant, MO)",00,Total for all sectors,2010,669,7220,42714,191855
8610000US63032,63032,"ZIP 63032 (Florissant, MO)",00,Total for all sectors,2010,8,19,56,208
8610000US63033,63033,"ZIP 63033 (Florissant, MO)",00,Total for all sectors,2010,694,8181,38369,164002
8610000US63034,63034,"ZIP 63034 (Florissant, MO)",00,Total for all sectors,2010,195,1719,9917,45901
8610000US63036,63036,"ZIP 63036 (French Village, MO)",00,Total for all sectors,2010,7,34,165,810
8610000US63037,63037,"ZIP 63037 (Gerald, MO)",00,Total for all sectors,2010,55,715,4652,19197
8610000US63038,63038,"ZIP 63038 (Glencoe, MO)",00,Total for all sectors,2010,147,718,4751,22337
8610000US63039,63039,"ZIP 63039 (Gray Summit, MO)",00,Total for all sectors,2010,20,f,D,D
