GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQ1T,PAYANT
Geographic identifier code,Id2,Geographic area name,2002 NAICS code,Meaning of 2002 NAICS code,Year,Number of establishments,Number of employees,"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US63079,63079,"ZIP 63079 (Stanton, MO)",00,Total for all sectors,2004,11,21,86,413
8610000US63080,63080,"ZIP 63080 (Sullivan, MO)",00,Total for all sectors,2004,361,4769,28657,120915
8610000US63084,63084,"ZIP 63084 (Union, MO)",00,Total for all sectors,2004,465,5574,33126,142200
8610000US63087,63087,"ZIP 63087 (Valles Mines, MO)",00,Total for all sectors,2004,13,36,94,441
8610000US63088,63088,"ZIP 63088 (Valley Park, MO)",00,Total for all sectors,2004,225,3442,20846,91546
8610000US63089,63089,"ZIP 63089 (Villa Ridge, MO)",00,Total for all sectors,2004,99,681,3460,15273
8610000US63090,63090,"ZIP 63090 (Washington, MO)",00,Total for all sectors,2004,780,11475,72579,311269
8610000US63091,63091,"ZIP 63091 (Rosebud, MO)",00,Total for all sectors,2004,32,256,1553,4804
8610000US63099,63099,"ZIP 63099 (Fenton, MO)",00,Total for all sectors,2004,9,3045,35141,155406
8610000US63101,63101,"ZIP 63101 (Saint Louis, MO)",00,Total for all sectors,2004,647,28580,406310,1535460
8610000US63102,63102,"ZIP 63102 (Saint Louis, MO)",00,Total for all sectors,2004,565,18620,229283,991092
8610000US63103,63103,"ZIP 63103 (Saint Louis, MO)",00,Total for all sectors,2004,795,34414,478713,1505541
8610000US63104,63104,"ZIP 63104 (Saint Louis, MO)",00,Total for all sectors,2004,553,15963,130267,504998
8610000US63105,63105,"ZIP 63105 (Saint Louis, MO)",00,Total for all sectors,2004,1649,27501,425272,1673667
8610000US63106,63106,"ZIP 63106 (Saint Louis, MO)",00,Total for all sectors,2004,195,3543,28272,116102
8610000US63107,63107,"ZIP 63107 (Saint Louis, MO)",00,Total for all sectors,2004,171,1884,9450,40676
8610000US63108,63108,"ZIP 63108 (Saint Louis, MO)",00,Total for all sectors,2004,798,13597,94223,403542
8610000US63109,63109,"ZIP 63109 (Saint Louis, MO)",00,Total for all sectors,2004,555,5288,28087,127158
8610000US63110,63110,"ZIP 63110 (Saint Louis, MO)",00,Total for all sectors,2004,763,31498,276038,1176395
8610000US63111,63111,"ZIP 63111 (Saint Louis, MO)",00,Total for all sectors,2004,319,5528,39601,161503
8610000US63112,63112,"ZIP 63112 (Saint Louis, MO)",00,Total for all sectors,2004,225,3400,22512,99201
8610000US63113,63113,"ZIP 63113 (Saint Louis, MO)",00,Total for all sectors,2004,206,2790,17619,74655
8610000US63114,63114,"ZIP 63114 (Saint Louis, MO)",00,Total for all sectors,2004,806,15370,129906,570827
8610000US63115,63115,"ZIP 63115 (Saint Louis, MO)",00,Total for all sectors,2004,253,2603,17176,72143
8610000US63116,63116,"ZIP 63116 (Saint Louis, MO)",00,Total for all sectors,2004,581,7284,48599,210173
8610000US63117,63117,"ZIP 63117 (Saint Louis, MO)",00,Total for all sectors,2004,736,12949,102989,430847
8610000US63118,63118,"ZIP 63118 (Saint Louis, MO)",00,Total for all sectors,2004,560,16204,167426,664927
8610000US63119,63119,"ZIP 63119 (Saint Louis, MO)",00,Total for all sectors,2004,1157,16620,106068,464960
8610000US63120,63120,"ZIP 63120 (Saint Louis, MO)",00,Total for all sectors,2004,135,3445,30819,118543
8610000US63121,63121,"ZIP 63121 (Saint Louis, MO)",00,Total for all sectors,2004,317,4096,26138,109415
8610000US63122,63122,"ZIP 63122 (Saint Louis, MO)",00,Total for all sectors,2004,1336,18767,147974,618979
8610000US63123,63123,"ZIP 63123 (Saint Louis, MO)",00,Total for all sectors,2004,945,12664,95514,403645
8610000US63124,63124,"ZIP 63124 (Saint Louis, MO)",00,Total for all sectors,2004,511,8931,96209,374721
8610000US63125,63125,"ZIP 63125 (Saint Louis, MO)",00,Total for all sectors,2004,693,10600,78873,324754
8610000US63126,63126,"ZIP 63126 (Saint Louis, MO)",00,Total for all sectors,2004,682,7352,40333,170662
